ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Damage Cost,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
2788429,HJ437145,6/17/2003 8:00,084XX W GREGORY ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,3143,FALSE,FALSE,1614,NA,41,76,14,NA,NA,2003,ERROR,NA,NA,
7308921,HS113429,1/10/2010 10:28,130XX S DR MARTIN LUTHER KING JR DR,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,4532,TRUE,TRUE,533,5,9,54,08B,1180948,1818658,2010,11/1/2010 5:08,41.65764086,-87.61352837,"(41.657640861, -87.613528366)"
9411869,HW555535,11/28/2013 8:00,032XX W DOUGLAS BLVD,890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,2178,FALSE,FALSE,1022,10,24,29,6,1154818,1893309,2013,2/12/2013 13:43,41.86305413,-87.70715529,"(41.86305413, -87.707155285)"
6863000,HR267765,4/14/2009 15:32,016XX E 53RD ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,TAXICAB,1052,FALSE,FALSE,2132,2,4,41,11,1188194,1870489,2009,ERROR,41.79970144,-87.58536614,"(41.799701444, -87.585366136)"
8079527,HT312157,5/17/2011 14:00,063XX N CLAREMONT AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,4304,FALSE,FALSE,2413,24,50,2,5,1159464,1941832,2011,ERROR,41.99611031,-87.68876114,"(41.99611031, -87.688761143)"
5959995,HN755465,11/6/2007 8:00,076XX S PHILLIPS AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,BANK,3955,FALSE,TRUE,421,4,7,43,11,1193897,1854798,2007,12/1/2008 1:05,41.7565062,-87.56496625,"(41.756506203, -87.564966253)"
4579723,HM166790,2/6/2006 17:30,084XX S INGLESIDE AVE,460,BATTERY,SIMPLE,SIDEWALK,2807,FALSE,FALSE,632,6,8,44,08B,1183976,1849454,2006,ERROR,41.74207911,-87.60149088,"(41.74207911, -87.601490881)"
5789960,HN600058,9/20/2007 10:00,071XX W DICKENS AVE,820,THEFT,$500 AND UNDER,STREET,270,FALSE,FALSE,2512,25,36,25,6,1127875,1913121,2007,4/12/2014 12:43,41.91791779,-87.80561494,"(41.917917786, -87.805614941)"
4775666,HM388940,5/30/2006 13:00,072XX S KIMBARK AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,2394,FALSE,FALSE,324,3,5,69,7,1186082,1857490,2006,4/6/2006 4:24,41.76408127,-87.59352144,"(41.764081271, -87.593521441)"
7711055,HS518043,9/16/2010 12:05,026XX E 79TH ST,460,BATTERY,SIMPLE,OTHER,3669,FALSE,FALSE,421,4,7,43,08B,1195505,1853147,2010,ERROR,41.75193617,-87.55912782,"(41.751936174, -87.559127815)"
